Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
10,30570,30572.7,30574,30568.7,30457.2
1,30700,30778.4,30781.5,30776.3,30668.1
2,30940,30984.1,30989.1,30983.9,30879
3,31210,31189.8,31196.6,31191.6,31089.9
4,31380,31395.6,31404.1,31399.2,31300.7
5,31600,31601.3,31611.7,31606.8,31511.6
6,31830,31807,31819.2,31814.5,31722.5
7,32000,32012.7,32026.7,32022.1,31933.3
8,32240,32218.4,32234.3,32229.7,32144.2
9,32440,32424.1,32441.8,32437.4,32355.1
10,32680,32629.8,32649.3,32645,32565.9
1,33070,33076,33064.9,33057.2,32987.7
2,33290,33282.4,33272.4,33265.7,33198.5
3,33500,33488.8,33480,33474.1,33409.4
4,33700,33695.2,33687.5,33682.6,33620.3
5,33900,33901.6,33895,33891,33831.1
6,34100,34108,34102.5,34099.5,34042
7,34300,34314.4,34310,34307.9,34252.9
8,34520,34520.8,34517.6,34516.4,34463.7
9,34710,34727.1,34725.1,34724.8,34674.6
10,34920,34933.5,34932.6,34933.3,34885.5
1,35170,35139.9,35140.1,35141.7,35096.4
2,35340,35346.3,35347.6,35350.2,35307.2
3,35610,35552.7,35555.2,35558.6,35518.1
4,35760,35759.1,35762.7,35767.1,35729
5,35970,35965.5,35970.2,35975.5,35939.8
6,36170,36171.9,36177.7,36184,36150.7
7,36340,36378.2,36385.2,36392.4,36361.6
8,36580,36584.6,36592.8,36600.9,36572.4
9,36790,36791,36800.3,36809.3,36783.3
10,37010,36997.4,37007.8,37017.8,36994.2
1,37460,37449.1,37432.7,37431.9,37415.9
2,37690,37655.8,37640.4,37640.7,37626.8
3,37900,37862.5,37848.2,37849.5,37837.6
4,38090,38069.2,38056,38058.3,38048.5
5,38280,38275.9,38263.7,38267.1,38259.4
6,38510,38482.6,38471.5,38475.9,38470.2
7,38640,38689.3,38679.2,38684.7,38681.1
8,38870,38896,38887,38893.5,38892
9,39080,39102.7,39094.7,39102.3,39102.9
10,39290,39309.4,39302.5,39311.1,39313.7
1,39520,39516.1,39510.3,39519.9,39524.6
2,39780,39722.8,39718,39728.7,39735.5
3,39950,39929.5,39925.8,39937.5,39946.3
4,40090,40136.3,40133.5,40146.3,40157.2
5,40310,40343,40341.3,40355.1,40368.1
6,40560,40549.7,40549.1,40563.9,40578.9
7,40740,40756.4,40756.8,40772.7,40789.8
8,40960,40963.1,40964.6,40981.5,41000.7
9,41190,41169.8,41172.3,41190.3,41211.5
10,41400,41376.5,41380.1,41399.1,41422.4
1,41860,41827.8,41807.6,41809,41844.1
2,42110,42034.6,42015.7,42018.1,42055
3,42270,42241.5,42223.7,42227.1,42265.9
4,42450,42448.3,42431.8,42436.2,42476.7
5,42650,42655.2,42639.8,42645.2,42687.6
6,42830,42862.1,42847.9,42854.3,42898.5
7,43050,43068.9,43055.9,43063.3,43109.4
8,43260,43275.8,43264,43272.4,43320.2
9,43440,43482.7,43472.1,43481.4,43531.1
10,43650,43689.5,43680.1,43690.5,43742
1,43890,43896.4,43888.2,43899.5,43952.8
2,44110,44103.3,44096.2,44108.6,44163.7
3,44340,44310.1,44304.3,44317.6,44374.6
4,44500,44517,44512.4,44526.7,44585.4
5,44730,44723.8,44720.4,44735.7,44796.3
6,44920,44930.7,44928.5,44944.8,45007.2
7,45130,45137.6,45136.5,45153.8,45218
8,45380,45344.4,45344.6,45362.9,45428.9
9,45560,45551.3,45552.7,45571.9,45639.8
10,45770,45758.2,45760.7,45781,45850.6
2,46200,46209.1,46191.1,46195.3,46272.4
1,46430,46416.8,46399.6,46404.6,46483.3
4,46630,46624.5,46608,46613.8,46694.1
3,46800,46832.2,46816.5,46823.1,46905
6,47090,47040,47024.9,47032.4,47115.9
5,47270,47247.7,47233.4,47241.7,47326.7
8,47440,47455.4,47441.8,47451,47537.6
7,47660,47663.1,47650.3,47660.3,47748.5
10,47860,47870.8,47858.7,47869.6,47959.3
9,48070,48078.6,48067.2,48078.9,48170.2
1,48300,48286.3,48275.6,48288.1,48381.1
2,48510,48494,48484.1,48497.4,48591.9
4,48670,48701.7,48692.5,48706.7,48802.8
6,48900,48909.5,48901,48916,49013.7
3,49130,49117.2,49109.4,49125.3,49224.5
8,49320,49324.9,49317.9,49334.6,49435.4
5,49520,49532.6,49526.3,49543.9,49646.3
10,49730,49740.4,49734.8,49753.2,49857.1
7,49950,49948.1,49943.2,49962.4,50068
9,50190,50155.8,50151.7,50171.7,50278.9
2,50620,50604.6,50579.8,50584.1,50700.6
1,50810,50811.7,50788.5,50793.5,50911.5
6,51060,51018.8,50997.2,51002.8,51122.4
4,51250,51225.9,51205.9,51212.2,51333.2
8,51390,51433,51414.6,51421.5,51544.1
3,51630,51640.1,51623.3,51630.9,51755
10,51850,51847.1,51832.1,51840.2,51965.8
5,52050,52054.2,52040.8,52049.6,52176.7
9,52230,52261.3,52249.5,52259,52387.6
7,52480,52468.4,52458.2,52468.3,52598.4
2,52700,52675.5,52666.9,52677.7,52809.3
6,52910,52882.6,52875.7,52887,53020.2
1,53090,53089.7,53084.4,53096.4,53231
4,53260,53296.8,53293.1,53305.8,53441.9
3,53510,53503.9,53501.8,53515.1,53652.8
8,53740,53711,53710.5,53724.5,53863.6
5,53890,53918.1,53919.3,53933.8,54074.5
10,54110,54125.2,54128,54143.2,54285.4
7,54330,54332.3,54336.7,54352.5,54496.3
9,54550,54539.4,54545.4,54561.9,54707.1
6,55030,54989.6,54971.7,54974.9,55128.9
2,55230,55197.4,55180.7,55184.3,55339.7
4,55410,55405.3,55389.6,55393.8,55550.6
1,55600,55613.1,55598.5,55603.2,55761.5
8,55790,55821,55807.5,55812.6,55972.3
3,56030,56028.8,56016.4,56022.1,56183.2
10,56210,56236.6,56225.4,56231.5,56394.1
5,56410,56444.5,56434.3,56440.9,56604.9
9,56640,56652.3,56643.3,56650.4,56815.8
7,56890,56860.2,56852.2,56859.8,57026.7
6,57050,57068,57061.2,57069.2,57237.5
2,57300,57275.9,57270.1,57278.6,57448.4
1,57490,57483.7,57479.1,57488.1,57659.3
4,57670,57691.6,57688,57697.5,57870.1
8,57890,57899.4,57897,57906.9,58081
10,58130,58107.2,58105.9,58116.4,58291.9
3,58250,58315.1,58314.9,58325.8,58502.8
9,58520,58522.9,58523.8,58535.2,58713.6
5,58740,58730.8,58732.8,58744.7,58924.5
7,59010,58938.6,58941.7,58954.1,59135.4
2,59360,59378.3,59365.7,59362.5,59557.1
6,59540,59586.9,59574.9,59572.5,59768
4,59800,59795.6,59784,59782.4,59978.8
1,60000,60004.2,59993.1,59992.4,60189.7
10,60180,60212.8,60202.3,60202.3,60400.6
8,60390,60421.4,60411.4,60412.3,60611.4
9,60610,60630,60620.6,60622.2,60822.3
3,60850,60838.6,60829.7,60832.1,61033.2
7,61120,61047.2,61038.8,61042.1,61244
5,61290,61255.8,61248,61252,61454.9
6,61450,61464.4,61457.1,61462,61665.8
2,61690,61673,61666.3,61671.9,61876.7
4,61890,61881.6,61875.4,61881.9,62087.5
10,62080,62090.2,62084.5,62091.8,62298.4
1,62240,62298.9,62293.7,62301.7,62509.3
8,62500,62507.5,62502.8,62511.7,62720.1
3,62720,62716.1,62712,62721.6,62931
9,62890,62924.7,62921.1,62931.6,63141.9
5,63130,63133.3,63130.2,63141.5,63352.7
7,63410,63341.9,63339.4,63351.5,63563.6
2,63810,63786.5,63769.8,63771.6,63985.3
6,64010,63995.3,63979.3,63981.9,64196.2
10,64220,64204.1,64188.8,64192.3,64407.1
4,64430,64413,64398.2,64402.7,64617.9
8,64600,64621.8,64607.7,64613,64828.8
1,64770,64830.6,64817.2,64823.4,65039.7
9,65000,65039.4,65026.7,65033.7,65250.5
3,65270,65248.3,65236.1,65244.1,65461.4
7,65450,65457.1,65445.6,65454.5,65672.3
5,65650,65665.9,65655.1,65664.8,65883.2
2,65890,65874.7,65864.6,65875.2,66094
10,66080,66083.6,66074.1,66085.5,66304.9
6,66300,66292.4,66283.5,66295.9,66515.8
4,66500,66501.2,66493,66506.3,66726.6
1,66730,66710.1,66702.5,66716.6,66937.5
8,66930,66918.9,66912,66927,67148.4
9,67110,67127.7,67121.4,67137.3,67359.2
7,67320,67336.5,67330.9,67347.7,67570.1
3,67550,67545.4,67540.4,67558.1,67781
5,67780,67754.2,67749.9,67768.4,67991.8
10,68190,68197.7,68178.8,68181.2,68413.6
2,68430,68406.4,68388.5,68391.6,68624.4
4,68610,68615.1,68598.3,68602,68835.3
6,68840,68823.8,68808,68812.4,69046.2
8,69030,69032.5,69017.7,69022.8,69257
1,69270,69241.2,69227.5,69233.2,69467.9
7,69440,69449.9,69437.2,69443.6,69678.8
9,69610,69658.6,69647,69654,69889.7
5,69850,69867.3,69856.7,69864.4,70100.5
